AoA,CD
129.0,1.09312
130.0,1.062283
131.0,1.031256
132.0,1.000076
133.0,0.968781
134.0,0.93741
135.0,0.906
136.0,0.87459
137.0,0.843219
138.0,0.811924
139.0,0.780744
140.0,0.749717
141.0,0.718879
142.0,0.68827
143.0,0.657926
144.0,0.627885
145.0,0.598182
146.0,0.568854
147.0,0.539937
148.0,0.511466
149.0,0.483476
150.0,0.456
151.0,0.429073
152.0,0.402726
153.0,0.376993
154.0,0.351905
155.0,0.327491
156.0,0.303782
157.0,0.280807
158.0,0.258594
159.0,0.23717
160.0,0.21656
161.0,0.19679
162.0,0.177885
163.0,0.159866
164.0,0.142757
165.0,0.126577
166.0,0.111347
167.0,0.097085
168.0,0.083809
169.0,0.071535
170.0,0.060277
171.0,0.050049
172.0,0.040864
173.0,0.032734
174.0,0.025667
175.0,0.019673
176.0,0.014759
177.0,0.01093
178.0,0.008192
179.0,0.006548
180.0,0.006
